ain't	am not
aren't	are not
rnt	are not
can't	cannot
could've	could have
couldn't	could not
didn't	did not
doesn't	does not
don't	do not
dunno	do not know
hadn't	had not
hasn't	has not
haven't	have not
he'd	he had
he'll	he will
he's	he is
how'd	how did
how'll	how will
how's	how is
i'd	i would
i'll	i will
i'm	i am
i've	i have
isn't	is not
it'd	it would
it'll	it will
it's	it is
mayn't	may not
may've	may have
mightn't	might not
might've	might have
mustn't	must not
must've	must have
needn't	need not
o'clock	of the clock
ol'	old
oughtn't	ought not
shan't	shall not
she'd	she would
she'll	she will
she's	she is
should've	should have
shouldn't	should not
somebody's	somebody is
someone's	someone is
something's	something is
that'll	that will
that're	that are
that's	that is
that'd	that would
there'd	there would
there're	there are
there's	there is
these're	these are
they'd	they would
they'll	they will
they're	they are
they've	they have
this's	this is
those're	those are
'tis	it is
'twas	it was
wasn't	was not
we'd	we would
we'll	we will
we're	we are
we've	we have
weren't	were not
what'd	what did
what'll	what will
what're	what are
what's	what is
what've	what have
when's	when is
where'd	where did
where're	where are
where's	where is
where've	where have
which's	which is
who'd	who would
who'd've	who would have
who'll	who will
who're	who are
who's	who is
who've	who have
why'd	why did
why're	why are
why's	why is
would've	would have
wouldn't	would not
won't	will not
y'all	you all
you'd	you would
you'll	you will
you're	you are
you've	you have
aint	am not
arent	are not
cant	cannot
couldve	could have
couldnt	could not
didnt	did not
doesnt	does not
dont	do not
hadnt	had not
hasnt	has not
havent	have not
hed	he had
hes	he is
howd	how did
howll	how will
hows	how is
id	i would
ill	i will
im	i am
ive	i have
isnt	is not
itd	it would
itll	it will
its	it is
maynt	may not
mayve	may have
mightnt	might not
mightve	might have
mustnt	must not
mustve	must have
neednt	need not
oclock	of the clock
ol	old
oughtnt	ought not
shant	shall not
shes	she is
shouldve	should have
shouldnt	should not
somebodys	somebody is
thatll	that will
thatre	that are
thats	that is
thatd	that would
thered	there would
therere	there are
theres	there is
thesere	these are
theyd	they would
theyll	they will
theyre	they are
theyve	they have
thiss	this is
thosere	those are
tis	it is
twas	it was
wasnt	was not
weve	we have
werent	were not
whatd	what did
whatll	what will
whatre	what are
whats	what is
whatve	what have
whens	when is
whered	where did
wherere	where are
wheres	where is
whereve	where have
whichs	which is
whod	who would
whodve	who would have
wholl	who will
whos	who is
whove	who have
whyd	why did
whyre	why are
whys	why is
wouldve	would have
wouldnt	would not
wont	will not
yall	you all
youd	you would
youll	you will
youre	you are
youve	you have
